Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.245938434156469,0.00263031624021073,0.761562315157989,0,0,0,29.1778131878809,10.958620554983,-0.00753456944918631,-1.14383455154732,10.3589688983453,-0.00154431750437142,9.67004496467483,0,0,0,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/base_link.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/base_link.3dxml,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_shoulder_link,0.0898037632676383,0.00253554614932183,-0.00522323459186413,0,0,0,0.181420829885811,0.000116094943295756,6.51171424784999E-06,-2.80125945227249E-06,0.000102149006497476,3.95231940231628E-07,8.73855156207236E-05,-0.249999999999974,0.33149999999999,-0.940000000000002,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_shoulder_link.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-0.249999999999974,0.33149999999999,-0.940000000000002,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_shoulder_link.3dxml,,r_shoulder_link-1,r_shoulder,r_shoulder_pitch,r_shoulder_joint,revolute,0.249999999999974,-0.33149999999999,0.940000000000002,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
r_elbow_link0,0.0466448947730179,0.000156287018724999,-3.56998822392818E-07,0,0,0,0.0628392286764867,6.61808971708481E-05,1.30179458104364E-07,-1.04527570652944E-09,9.05993150062653E-05,8.65305821785955E-10,6.68087944399704E-05,-0.379999999999978,0.331499999999983,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link0.3dxml,0.792156862745098,0.819607843137255,0.933333333333333,1,-0.379999999999978,0.331499999999983,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link0.3dxml,,arm_part_v3-1,r_elbow0,r_elbow_flex0,r_elbow_joint0,revolute,0.130000000000004,0,0,0,0,0,r_shoulder_link,0,0,-1,0,0,0,0,,,,,,,,
r_elbow_link1,0.0466448947730183,0.000156287018736045,-3.56998822059751E-07,0,0,0,0.062839228676488,6.61808984830392E-05,1.30179328835172E-07,-1.04518496132762E-09,9.05993168918464E-05,8.65411571059937E-10,6.68087925393495E-05,-0.459999999999978,0.331499999999993,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link1.3dxml,0.792156862745098,0.819607843137255,0.933333333333333,1,-0.459999999999978,0.331499999999993,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link1.3dxml,,arm_part_v3-2,r_elbow1,r_elbow_flex1,r_elbow_joint1,revolute,0.08,0,0,0,0,0,r_elbow_link0,0,0,-1,0,0,0,0,,,,,,,,
r_elbow_link2,0.0466448947730179,0.000156287018735879,-3.56998822170773E-07,0,0,0,0.0628392286764873,6.61808984830383E-05,1.301793288358E-07,-1.04518496186921E-09,9.05993168918457E-05,8.65411570706405E-10,6.68087925393489E-05,-0.539999999999978,0.331499999999993,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link2.3dxml,0.792156862745098,0.819607843137255,0.933333333333333,1,-0.539999999999978,0.331499999999993,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link2.3dxml,,arm_part_v3-3,r_elbow2,r_elbow_flex2,r_elbow_joint2,revolute,0.08,0,0,0,0,0,r_elbow_link1,0,0,-1,0,0,0,0,,,,,,,,
r_elbow_link3,0.0466448947730181,0.000156287018735823,-3.56998822059751E-07,0,0,0,0.0628392286764876,6.61808984830392E-05,1.30179328835536E-07,-1.04518496133676E-09,9.05993168918467E-05,8.65411570771082E-10,6.68087925393498E-05,-0.619999999999978,0.331499999999993,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link3.3dxml,0.792156862745098,0.819607843137255,0.933333333333333,1,-0.619999999999978,0.331499999999993,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link3.3dxml,,arm_part_v3-4,r_elbow3,r_elbow_flex3,r_elbow_joint3,revolute,0.08,0,0,0,0,0,r_elbow_link2,0,0,-1,0,0,0,0,,,,,,,,
r_elbow_link4,0.0490555640624756,0.00501268384154441,-4.21888739166043E-07,0,0,0,0.0780612213761367,8.34448242368713E-05,4.44948160954552E-06,-4.71762537243713E-13,6.39305524922981E-05,-3.20612796383613E-11,4.99291612558271E-05,-0.699999999999978,0.331499999999993,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link4.3dxml,0.792156862745098,0.819607843137255,0.933333333333333,1,-0.699999999999978,0.331499999999993,-0.940000000000286,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/r_elbow_link4.3dxml,,arm-end-v2-1,r_elbow4,r_elbow_flex4,r_elbow_joint4,revolute,0.08,0,0,0,0,0,r_elbow_link3,0,0,-1,0,0,0,0,,,,,,,,
l_shoulder_link,0.0898037632677828,0.00253554614899493,-0.00522323459157525,0,0,0,0.181420829885481,0.000116094943295568,6.51171424778503E-06,-2.80125945258428E-06,0.000102149006497349,3.95231940911038E-07,8.73855156205857E-05,-0.249999999999974,-0.3315,-0.940000000000002,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/l_shoulder_link.3dxml,0.752941176470588,0.752941176470588,0.752941176470588,1,-0.249999999999974,-0.3315,-0.940000000000002,1.5707963267949,0,-1.5707963267949,package://umoru/meshes/l_shoulder_link.3dxml,,l_shoulder_link-1,l_shoulder,l_shoulder_pitch,l_shoulder_joint,continuous,0.249999999999974,0.3315,0.940000000000002,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
l_elbow_link0,0.0466448947730141,-0.000156287018721002,3.56998822059751E-07,0,0,0,0.0628392286764886,6.61808891756007E-05,-1.30188239931639E-07,1.01336674259307E-09,9.05991966558929E-05,7.3677841916099E-10,6.68089089818205E-05,-0.379999999999977,-0.331499999999985,-0.940000000000286,1.5707963267949,2.14961238538532E-17,-1.5707963267949,package://umoru/meshes/l_elbow_link0.3dxml,0.792156862745098,0.819607843137255,0.933333333333333,1,-0.379999999999977,-0.331499999999985,-0.940000000000286,1.5707963267949,2.14961238538532E-17,-1.5707963267949,package://umoru/meshes/l_elbow_link0.3dxml,,arm_part_v3-5,l_elbow0,l_elbow_flex0,l_elbow_joint0,revolute,0.130000000000004,0,0,0,0,0,l_shoulder_link,0,0,-1,0,0,0,0,,,,,,,,
l_elbow_link1,0.0466448947730186,-0.00015628701873599,3.56998821837706E-07,0,0,0,0.0628392286764886,6.61808891756007E-05,-1.30188239930884E-07,1.01336674162659E-09,9.05991966558939E-05,7.36778419705595E-10,6.68089089818205E-05,-0.459999999999974,-0.3315,-0.940000000000286,1.5707963267949,3.26830215106044E-17,-1.5707963267949,package://umoru/meshes/l_elbow_link1.3dxml,0.792156862745098,0.819607843137255,0.933333333333333,1,-0.459999999999974,-0.3315,-0.940000000000286,1.5707963267949,3.26830215106044E-17,-1.5707963267949,package://umoru/meshes/l_elbow_link1.3dxml,,arm_part_v3-8,l_elbow1,l_elbow_flex1,l_elbow_joint1,revolute,0.0799999999999962,0,0,0,0,0,l_elbow_link0,0,0,-1,0,0,0,0,,,,,,,,
l_elbow_link2,0.0466448947730179,-0.000156287018735324,3.56998821948729E-07,0,0,0,0.0628392286764859,6.61808971708478E-05,-1.30179458103277E-07,1.04527570579418E-09,9.05993150062653E-05,8.65305821595339E-10,6.68087944399701E-05,-0.539999999999974,-0.3315,-0.940000000000286,1.5707963267949,-3.7974877366948E-17,-1.5707963267949,package://umoru/meshes/l_elbow_link2.3dxml,0.792156862745098,0.819607843137255,0.933333333333333,1,-0.539999999999974,-0.3315,-0.940000000000286,1.5707963267949,-3.7974877366948E-17,-1.5707963267949,package://umoru/meshes/l_elbow_link2.3dxml,,arm_part_v3-7,l_elbow2,l_elbow_flex2,l_elbow_joint2,revolute,0.0800000000000001,0,0,0,0,0,l_elbow_link1,0,0,-1,0,0,0,0,,,,,,,,
